0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Pd:3015.8,Mo:2238.0,Pt:1199.2,Ti:1135.3,Zr:480.8,S :360.7,S :216.9,Cd:174.7,Au:171.9,Ni:153.3,,,,,,,
Pd:2991.9,Nb:1097.0,Fe:502.4,Au:353.4,Cr:339.7,Ta:255.1,,,,,,,,,,,
Cd:4948.9,Ni:3460.9,Pd:2966.0,Fe:2493.0,Ta:1165.0,Co:461.8,Ti:395.2,Au:229.6,S :157.7,,,,,,,,
Pd:2946.9,V_:1356.1,W_:1118.6,Nb:854.3,Mo:795.0,Ni:553.1,Cr:478.7,Pt:375.0,Ti:352.0,Ta:290.5,S :212.6,,,,,,
Ni:4450.0,Pd:2876.4,Nb:669.0,V_:284.4,W_:172.9,,,,,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,Zr:1022.8,W_:779.8,Ta:466.4,S :395.8,S :382.8,K_:316.7,Ta:292.1,Pt:282.4,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,P :175.2,Mo:162.6
Ni:4021.8,Pd:2738.2,Mo:827.2,Pt:468.7,Zr:367.2,Nb:361.8,,,,,,,,,,,
Co:6878.8,Nb:2803.4,Pd:2669.3,Cr:820.2,Fe:699.2,C_:439.8,Zr:360.0,Ti:306.0,Ta:302.4,Ta:210.2,S :166.4,,,,,,
Pd:2630.9,Mo:812.3,Zr:736.8,Zr:731.3,Ta:621.6,Nb:606.3,Cr:327.9,W_:313.1,Ti:183.6,,,,,,,,
Pd:2542.9,Ti:2235.4,Nb:506.8,S :383.9,Co:375.0,Mo:281.5,P :214.6,,,,,,,,,,
Pd:2343.7,W_:713.7,W_:669.1,Nb:496.9,S :493.1,Ti:459.6,Ta:446.1,K_:324.1,Zr:239.1,P :211.2,,,,,,,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,Pb:1918.9,W_:894.4,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,,,,,,
Pd:2163.9,Zn:1171.4,W_:855.5,Pt:634.5,Ta:217.7,S :199.4,,,,,,,,,,,
Pd:2059.0,Fe:1658.3,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,In:261.9,Cd:256.0,Sb:249.6,Cd:246.2,Sn:201.9,C_:159.5,,
Mo:3399.1,Pt:2130.4,Pd:1838.4,Ni:731.0,Cr:583.3,Ta:364.1,Ti:361.4,C_:284.8,Nb:226.1,S :195.9,Au:170.6,,,,,,
Co:1911.5,Pd:1820.8,Fe:919.3,Ta:494.0,Nb:433.1,Mo:362.8,,,,,,,,,,,
Mo:8248.6,Pt:7078.4,Fe:2394.0,Pd:1812.2,Sn:1774.6,Nb:1613.0,V_:394.0,Ta:178.7,,,,,,,,,
Pd:1765.9,Cd:1029.1,Si:337.0,V_:157.5,,,,,,,,,,,,,
Mo:1902.2,Pd:1755.9,Co:1702.7,Pt:1294.7,Ta:747.8,Nb:704.7,Fe:454.3,W_:177.7,Cr:159.6,,,,,,,,
Fe:3349.3,Pd:1740.8,Mo:725.0,W_:655.0,Ti:346.5,Ta:208.0,C_:194.2,Cr:182.4,Pb:178.3,,,,,,,,
I_:1818.1,Pd:1713.5,Mo:1250.1,Cr:685.5,Si:659.4,Zr:363.6,Au:300.3,Ag:289.4,W_:267.7,K_:150.7,,,,,,,
Ni:3314.4,Mo:2089.8,Co:2004.3,Pd:1683.4,Pt:1203.8,Cr:1182.6,Ta:489.7,Nb:440.4,In:172.4,,,,,,,,
Pd:1524.8,Ni:770.9,Ta:619.6,Cu:308.5,P :210.6,W_:207.1,In:180.4,Zr:172.0,,,,,,,,,
C_:7599.1,Nb:3188.1,Pd:1503.7,Ta:1012.5,Mo:261.4,Pt:204.1,,,,,,,,,,,
Zr:1572.1,Pd:1451.4,Zr:1019.6,Ta:973.5,Nb:925.7,Ti:496.8,Mo:375.7,,,,,,,,,,
Pd:1381.9,Ni:244.1,Ta:198.1,,,,,,,,,,,,,,
Pd:1301.1,Ni:770.9,Mo:270.8,,,,,,,,,,,,,,
Pd:1127.3,In:626.4,Nb:417.8,Ta:384.3,Zr:303.4,Cr:226.1,W_:226.1,K_:178.8,S :176.1,,,,,,,,
Co:903.2,W_:895.7,Pd:866.0,S :180.5,,,,,,,,,,,,,
Pd:855.0,In:676.1,Nb:477.0,Cu:362.8,Cr:230.9,Zr:158.0,,,,,,,,,,,
Pd:837.4,Au:392.2,Zr:329.7,Nb:218.7,,,,,,,,,,,,,
Pd:780.7,Pt:592.8,Mo:415.1,Ni:332.0,Nb:222.5,W_:168.3,V_:163.1,Ta:158.9,,,,,,,,,
Pd:602.1,Nb:502.8,K_:201.0,Fe:199.9,,,,,,,,,,,,,
Pd:536.9,W_:340.2,,,,,,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,P :158.2,Au:150.7,K_:150.5,,,,,,
V_:3537.8,Zr:870.7,Pd:523.0,Ni:249.9,Ta:217.9,W_:202.2,C_:189.2,Nb:185.8,S :154.4,Ag:153.4,,,,,,,
Zr:3760.0,Nb:2579.1,W_:840.6,K_:565.4,Pd:478.6,S :234.0,,,,,,,,,,,
Ni:854.0,Pd:441.2,,,,,,,,,,,,,,,
Zr:1610.3,Ta:1490.5,Mo:702.5,Nb:660.6,C_:574.0,Pd:430.5,Pt:405.8,Ni:370.6,Cd:160.4,,,,,,,,
Nb:2719.8,V_:1129.8,Mo:437.4,Ta:415.7,Pd:396.1,W_:323.1,Pt:284.4,Fe:274.4,Ag:159.8,Co:150.8,,,,,,,
Mo:1031.1,Nb:1017.0,Pt:599.2,C_:478.5,Pd:366.4,Ta:343.3,W_:321.5,C_:313.3,Ti:253.1,Zr:203.2,Fe:150.7,,,,,,
Pd:317.0,,,,,,,,,,,,,,,,
Pd:292.6,Mo:244.6,W_:185.4,,,,,,,,,,,,,,
Cr:2048.0,Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,S :306.3,Pd:291.3,Cd:261.1,P :205.9,P :199.8,Ta:167.8,,,
W_:2976.6,Zr:498.7,Mo:298.1,Pd:285.7,Pt:245.9,Fe:229.9,Ti:212.1,V_:186.3,P :181.1,K_:162.6,,,,,,,
Ta:368.9,Fe:226.4,Pd:209.6,Sn:157.2,,,,,,,,,,,,,
Nb:1093.0,Ni:542.8,Fe:493.5,Cr:457.3,W_:412.0,Ta:229.3,Pd:191.3,S :176.3,,,,,,,,,
Mo:2039.4,Nb:1348.1,Pt:1191.3,Ni:602.6,Cr:457.3,V_:293.3,Ta:229.3,Pd:185.3,S :176.3,,,,,,,,
Pd:183.0,,,,,,,,,,,,,,,,
Nb:1081.5,Zr:1041.0,Co:801.5,V_:291.2,W_:266.2,S :266.1,W_:240.3,Pd:167.8,,,,,,,,,
Mo:2243.1,Pt:1572.0,Nb:1081.5,Ta:747.1,W_:240.3,S :198.4,Pd:161.3,,,,,,,,,,
C_:606.3,V_:504.6,V_:226.6,Cd:212.7,Pt:175.9,Pd:157.7,,,,,,,,,,,
Zr:1418.6,S :230.0,S :198.5,Ti:180.4,Pd:155.1,,,,,,,,,,,,
