0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Ca:473.8,V_:278.6,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,
Nb:818.5,K :704.3,Ti:639.6,Fe:557.7,Ni:484.3,P :442.0,V_:296.9,W_:169.9,In:165.8,,,,,,,,,,,,,,,
P :367.6,Nb:232.7,W_:166.9,,,,,,,,,,,,,,,,,,,,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :347.5,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:160.4,,,,,,,,,,,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :322.1,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:152.6,,,,,,,,,,,,,,,
Cu:1202.7,Pd:1196.0,Nb:842.0,Nb:653.6,Ni:407.4,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sn:160.9,I_:157.7,,,,,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,
In:1084.3,Ti:983.0,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,,,
W_:1428.7,Zr:1255.3,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Bi:315.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,Mo:208.9
Cu:1202.7,Nb:653.6,Ni:323.9,Mo:253.5,P :241.6,Ca:177.9,Si:158.8,Sn:158.4,,,,,,,,,,,,,,,,
Ti:342.1,Ti:312.0,Nb:259.1,P :228.2,Fe:209.5,Sb:183.9,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,
Nb:6347.0,Ni:2088.7,I_:1486.2,S :618.5,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,
Zr:892.2,V_:357.7,W_:240.9,P :186.2,K :186.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,I_:507.0,Sn:467.5,Sb:465.1,In:452.8,Fe:440.7,Si:379.9,K :358.7,Nb:244.8,Zn:202.2,P :180.6,Ni:153.7,,,,,,
Nb:1496.7,Ni:813.1,Si:316.4,S :273.4,I_:259.5,Sb:246.7,Pt:244.6,P :179.9,Sn:178.1,K :158.4,Fe:153.3,,,,,,,,,,,,,
Ti:1481.3,W_:694.5,Sn:290.8,Ta:176.1,Zr:175.7,P :173.7,Ag:163.7,,,,,,,,,,,,,,,,,
Zr:421.1,Fe:358.7,Nb:328.9,Sb:281.7,K :276.6,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,,,
V_:1330.5,Pd:788.3,Ti:743.9,P :170.5,Ge:157.2,,,,,,,,,,,,,,,,,,,
Ti:946.0,Sn:383.6,Sb:235.9,Ca:218.4,Ta:216.4,Zr:205.0,Nb:190.5,P :168.9,,,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Nb:579.9,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,P :167.3,,,,,,,,
Ti:2385.1,S :660.7,K :311.7,P :161.7,Bi:153.4,Au:150.1,,,,,,,,,,,,,,,,,,
Ti:579.6,Zr:561.3,Mo:290.0,In:226.2,Sn:212.8,P :159.1,,,,,,,,,,,,,,,,,,
Ti:1339.2,V_:1322.6,Nb:573.6,W_:381.6,Ca:315.1,Ni:306.5,Cu:264.2,Sb:203.5,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,,,,,,
Nb:1798.8,V_:1497.2,I_:1032.1,W_:873.2,Ni:691.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,Fe:513.1,Sn:493.4,Si:480.4,S :474.1,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:189.3,P :153.1,,,,,
I_:1627.4,Fe:530.0,S :397.3,Sn:301.6,Ti:230.3,Zr:227.8,W_:199.4,In:158.6,P :152.2,,,,,,,,,,,,,,,
